"city","lat","lng","population"
"Aberdeen",57.15,-2.11,214610
"Bangor",54.66,-5.67,61011
"Bath",51.38,-2.36,88859
"Belfast",54.5964,-5.93,333871
"Birmingham",52.48,-1.9025,2897303
"Brighton",50.8429,-0.1313,134293
"Bristol",51.45,-2.5833,724000
"Canterbury",51.28,1.08,55240
"Carlisle",54.891,-2.944,75306
"Chelmsford",51.7361,0.4798,111511
"Chester",53.19,-2.89,79645
"Chichester",50.8365,-0.7792,26795
"Coventry",52.4081,-1.5106,362690
"Derby",52.9167,-1.4667,270500
"Dundee",56.462,-2.9707,148270
"Durham",54.7761,-1.5733,48069
"Edinburgh",55.953,-3.189,488050
"Exeter",50.7167,-3.5333,124180
"Glasgow",55.8609,-4.2514,985290
"Hereford",52.0565,-2.716,55955
"Inverness",57.4781,-4.2233,70000
"Lancaster",54.047,-2.801,52234
"Leeds",53.7997,-1.5492,1901934
"Leicester",52.6333,-1.1333,508916
"Lichfield",52.6835,-1.8265,33816
"Lincoln",53.2344,-0.5386,97541
"Lisburn",54.5167,-6.0333,71465
"Liverpool",53.4,-2.9833,864122
"London",51.5072,-0.1275,10979000
"Manchester",53.4794,-2.2453,2705000
"Newport",51.5833,-3,128060
"Newport",50.701,-1.2883,25496
"Norwich",52.63,1.297,213166
"Nottingham",52.95,-1.15,768638
"Oxford",51.7519,-1.2578,154600
"Perth",56.397,-3.437,46960
"Plymouth",50.3714,-4.1422,267918
"Portsmouth",50.8058,-1.0872,855679
"Preston",53.759,-2.699,122719
"Salford",53.483,-2.2931,103886
"Salisbury",51.074,-1.7936,40302
"Sheffield",53.3833,-1.4667,685368
"Southampton",50.9,-1.4,855569
"Stirling",56.1166,-3.9369,37810
"Stoke-on-Trent",53,-2.1833,372775
"Sunderland",54.9061,-1.3811,174286
"Wakefield",53.68,-1.49,99251
"Winchester",51.0632,-1.308,45184
"Wolverhampton",52.5833,-2.1333,254406
"Worcester",52.192,-2.22,101328
"York",53.9583,-1.0803,153717
